Datetime,Temp,Weather,Wind,Humidity,Barometer
2013-02-21 12:00:00,26,Scattered clouds,28,61,1019
2013-02-22 12:00:00,26,Partly sunny,37,54,1019
2013-02-23 12:00:00,23,Passing clouds,44,83,1013
2013-02-24 12:00:00,27,Partly sunny,37,74,1013
