Datetime,Temp,Weather,Wind,Humidity,Barometer
2013-02-20 12:00:00,26,Scattered clouds,20,61,1017
2013-02-21 12:00:00,26,Scattered clouds,28,61,1019
2013-02-22 12:00:00,26,Passing clouds,37,54,1019
2013-02-23 12:00:00,23,Rain showers. Broken clouds,44,83,1013
